<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.01.03	13:00:00	0.83563	0.83563	0.83427	0.83442	2793	0	10
2012.01.03	14:00:00	0.83444	0.83647	0.83417	0.83633	3133	0	10
2012.01.03	15:00:00	0.83633	0.83715	0.83540	0.83572	3218	0	10
2012.01.03	16:00:00	0.83573	0.83697	0.83452	0.83459	3425	0	12
2012.01.03	17:00:00	0.83461	0.83480	0.83368	0.83431	4034	0	10
2012.01.03	18:00:00	0.83429	0.83430	0.83308	0.83381	3186	0	10
2012.01.03	19:00:00	0.83380	0.83454	0.83345	0.83437	2916	0	10
2012.01.03	20:00:00	0.83437	0.83467	0.83383	0.83415	1886	0	14
2012.01.03	21:00:00	0.83416	0.83444	0.83384	0.83409	1291	0	30
2012.01.03	22:00:00	0.83408	0.83426	0.83328	0.83387	1134	0	30
2012.01.03	23:00:00	0.83386	0.83418	0.83344	0.83405	1478	0	30
2012.01.04	00:00:00	0.83405	0.83435	0.83397	0.83427	1093	0	30
2012.01.04	01:00:00	0.83428	0.83437	0.83393	0.83420	1065	0	30
2012.01.04	02:00:00	0.83419	0.83419	0.83364	0.83373	1044	0	30
2012.01.04	03:00:00	0.83374	0.83396	0.83299	0.83318	1279	0	30
2012.01.04	04:00:00	0.83317	0.83339	0.83300	0.83314	819	0	50
2012.01.04	05:00:00	0.83313	0.83341	0.83304	0.83310	803	0	50
